резина задняя,,резина задняя,,резина задняя,,резина задняя,24000,резина задняя,46660,резина задняя,20000,резина задняя,,резина задняя,,резина задняя,18900,резина задняя,10500,резина задняя,,резина задняя,,резина задняя,,резина задняя,,резина задняя,,резина задняя,22800,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,14 июля,,,,,,,,,,мили,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
наклейка о аренде,,наклейка о аренде,,наклейка о аренде,,наклейка о аренде,нет,наклейка о аренде,,наклейка о аренде,,наклейка о аренде,,наклейка о аренде,,наклейка о аренде,да ,наклейка о аренде,,наклейка о аренде,да,наклейка о аренде,да,наклейка о аренде,да,наклейка о аренде,да,наклейка о аренде,да,наклейка о аренде,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mf нов,,новая рр,,новая рр,,,,uasa новая ,,новая рр,,уяса нов ,,,,ауаса нов,,перновая fb,,новая ауса,,,,новая ауса ,,дорогая ,,уяса новая,,,,,,,,пидор техник сказал батарея новая за 1700,,аяса моя,,хз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
батарея,30.10.2024,батарея,10.12.2024,батарея,27.05.2024,батарея,20.04.2024,батарея,09.09.2024,батарея,15.08.2024,батарея,23.08.2024,батарея,02.07.2027,батарея,01.08.2024,батарея,23.11.2024,батарея,14.10.2024,батарея,продал его,батарея,24.09.2024,батарея,28.03.2025,батарея,08.10.2024,батарея,,,,,,,13.10.2024,,13.10.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,,ремень,4500,ремень,,ремень,,ремень,,ремень,,,,,,,13.10.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер,,стартер, ,стартер,,стартер,,стартер,8000,стартер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,рр батарея,,,,,,старая,,,,,,,,,,,,идеально новая бат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
прокладка ,да ,прокладка ,,прокладка ,,прокладка ,,прокладка ,29.05,прокладка ,,прокладка ,,прокладка ,,прокладка ,,прокладка ,,прокладка ,,прокладка ,да,прокладка ,,прокладка ,,прокладка ,,прокладка ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
вода ,,,,,,,,,зарядил ,,3 мес и сдохла батарея пиздец ,,,,,,,,,,батарея 03.2024,,,,,,,,зарядил 20 мая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,вилка пизедц . ,,вода ,10 июля,,,,gps убил 3 батареи,,10.05.2024,,,,2 июля батарея. ясука. я разрядил старую сам случайно ,,,,,,"сдохла 29,07.2024",,,,,,,,20.05.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinotrack gps ,,,,,,,,,он отключен,,,,,,рр новая 27 апреля,,,,,,,акум ,15 апреля,,15 апреля,,,что нужно,,,,,,,,,резина гавно врод задряя,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,масло фильтры на ручках менять надо ,,,,,,,,,,,,,,,,,,,,,,,была новая батарея,,,вилку равнять,,,,,,,,,ключ выпадает,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
задний диск надо менять. чтоб задний тормоз не скрипел. но вроде не скрипит ,,,,,,,,,gps выключен ,,,,8 мес проработал акум рр большой,,,,,,,,,,,,но батарея была разряжена сразу из за генератора,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Мес перезаряж ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,210  дней акум ,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,вилка ок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,04.05.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,с апреля была новая рр. села из за жпс в сентябре. за 4 Мес. зарядил. вода в байке ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,нужно менять диск ,,,,,,,,,,,,,,,,,пидор техник,, пидор техник 5000 к ремонт ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
цвет,Orange,,grey,,,,dark blue,,white ,,white ,,unique sticker girl,,red ,,red ,,white ,задние тормоза скрипят.  ,orange ,,,,dark blue,,orange ,,sticker cap America,,dark blue,,white ,,unique blue,,dark blue,,grey ,,blue,,red ,,blue,,dark blue,,white,,white,,Red ,,yellow ,,yellow ,,grey ,,blue,,white,,balck +red ,,,,blue,,red,,,,,,,,Orange,,,,red ,,Orange,,black ,,blue,,,,red,,blue,,red ,,,,
,,,,,,,,,,,,,,,,,,,,после 1000 км замены((((,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,новая fb  12 дней работала и сдохла,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27.11.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
главное фото,https://drive.google.com/uc?export=download&id=1Z5R-J40tIRLmqMlRWkUip2JZBE6-CLUh,,https://drive.google.com/uc?export=download&id=1TtNS6zTHe67YqrHYprnH4yWbzzdzeKtp,,,,https://drive.google.com/file/d/12UyVzotiaKCrV8AJs_gtViulP1briPOe/view?usp=sharing,,,,https://drive.google.com/uc?export=download&id=1ndEy7w_q7xGjT1u30Nb_xoizEOeYo1yB,,https://drive.google.com/uc?export=download&id=1d6LrVOlfX6AP7lxnM6xKHFqe-_SWT7YJ,,https://drive.google.com/uc?export=download&id=1pdq7fFyn4-mtL_SLO41XiOg1xCp3Sod_,,,,https://drive.google.com/uc?export=download&id=1ndEy7w_q7xGjT1u30Nb_xoizEOeYo1yB,,https://drive.google.com/uc?export=download&id=1Z5R-J40tIRLmqMlRWkUip2JZBE6-CLUh,,,,,,https://drive.google.com/uc?export=download&id=1Z5R-J40tIRLmqMlRWkUip2JZBE6-CLUh,,https://drive.google.com/uc?export=download&id=1S2YYsO24vj0POH-hUnEs8asBmmqPApO2,,https://drive.google.com/uc?export=download&id=1dpWOAvgf8otJ4-4Q4wORR0QNodSJLDbU,,https://drive.google.com/uc?export=download&id=16srE8QmTEzZS4Ur0nqZsOz9MNJRu4bYL,,https://drive.google.com/uc?export=download&id=1TGdbrmM2RegqxgfYUqH2IjyKd8mzweFv,,https://drive.google.com/uc?export=download&id=1pTL21YIvT6v7V4tQeEfig79-4DHIAnSw,,https://drive.google.com/uc?export=download&id=1eKlluJvamCtWfyqcAzyKyTlnq9h2epY3,,https://drive.google.com/uc?export=download&id=1BiMBOsR_xBHtn_yJOAn1_sa9wTrPUY2y,,https://drive.google.com/uc?export=download&id=1pyhazIGbqF7dYaGaz3jZlfOT5yXzESzw,,https://drive.google.com/uc?export=download&id=1uHy-82pfNpG12sacSLg-zi93GGbdo3FU,,https://drive.google.com/file/d/12UyVzotiaKCrV8AJs_gtViulP1briPOe/view?usp=sharing,,,,,,https://drive.google.com/uc?export=download&id=1LLO74cx2-noIYWoFDtYH-L3cxo9EK1AP,,https://drive.google.com/uc?export=download&id=1Jak0sFgQWGQeKbiDcqpwGSKEjQpSqbuQ,,https://drive.google.com/uc?export=download&id=1Jak0sFgQWGQeKbiDcqpwGSKEjQpSqbuQ,,https://drive.google.com/uc?export=download&id=1eKlluJvamCtWfyqcAzyKyTlnq9h2epY3,,https://drive.google.com/uc?export=download&id=1SlPIRCVrEU8sP1Nnqaegm9-Goljm51nC,,https://drive.google.com/uc?export=download&id=1HPFRPEs2IzCS1pKlTe78VlkTJNmOgos0,,https://drive.google.com/uc?export=download&id=10Ik_zYxCyT07TYNksQm6t9nJyfiMfFcQ,,,,,,https://drive.google.com/uc?export=download&id=1NX0HXVj8aVKQySAA9K-gy966K1tyZraM,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1w1yIQi_l-4GiVHDuXpRM2WVpNRNDU9az,,https://drive.google.com/uc?export=download&id=1sRxBTl_woSqQyvi3goIDnufN3eDP9xWm,,https://drive.google.com/uc?export=download&id=17wh4HiNMdv6OU1o-Vf59Aq6_Z5QHWmHF,,,,https://drive.google.com/uc?export=download&id=1mUV8IAIskiGs2EeLCiPDi-BytE_HHscI,,https://drive.google.com/uc?export=download&id=1JP4NX1Yw_6svLsXuxpW8YoB6GR0VKEKn,,https://drive.google.com/uc?export=download&id=1Suowr1DgzHyWWd-UHkf6aruqmPZcotsN,,,,
ссылка на фото,https://photos.google.com/share/AF1QipNKizeaovNYIapKvP7VF2sZsgWsbRVQ7inWkco84xG9o5qmh5N9ITDWYpg0ArFdMw?key=TDJERHoxOWxLeXBNS053V2dyWFhxc1NDMEZNXzdn,,https://photos.app.goo.gl/PzpfKC8aUKnYEekE8,,,,https://photos.app.goo.gl/J9cW8ojfQYJPPjFJ6,,,https://photos.app.goo.gl/T4VZDSN5TH56uQfA6,https://photos.app.goo.gl/T4VZDSN5TH56uQfA6,,https://photos.app.goo.gl/rGfznuCuv9HLSjwT8,,https://photos.app.goo.gl/1ogJpYGSYEwBCt8U9,,,,https://photos.app.goo.gl/xZUiuSkZJYV4XAY59,,https://photos.google.com/share/AF1QipNKizeaovNYIapKvP7VF2sZsgWsbRVQ7inWkco84xG9o5qmh5N9ITDWYpg0ArFdMw?key=TDJERHoxOWxLeXBNS053V2dyWFhxc1NDMEZNXzdn,,,,,,https://photos.app.goo.gl/EFVVa8AeoxjzhPPA7,,https://photos.app.goo.gl/e5WNPgSpzRqrQxBs5,,https://photos.app.goo.gl/mmB2xtFsPNfiVVtb9,,https://photos.app.goo.gl/er8mQdzAuk3CzTpZ8,,https://photos.app.goo.gl/EfvUXK7iKcQytZ516,,https://photos.app.goo.gl/SNjM44Dyhk6kyGaWA,,https://photos.app.goo.gl/oXwcEEineMZpFLe78,,https://photos.app.goo.gl/SCnuFihP7pkpKn3B8,,https://photos.app.goo.gl/8Ca3hs3VR2C893126,,https://photos.app.goo.gl/d5vNpjEE2otwL8X17,,https://photos.app.goo.gl/J9cW8ojfQYJPPjFJ6,,,,,,https://photos.app.goo.gl/x5PwPevtKgVKB3P98,,https://photos.app.goo.gl/Tksq6QNmthdMzeiq5,,https://photos.app.goo.gl/Tksq6QNmthdMzeiq5,,https://photos.app.goo.gl/oXwcEEineMZpFLe78,,https://photos.app.goo.gl/d5vNpjEE2otwL8X17,,https://photos.app.goo.gl/cM5X1EBxGJBHHhjG7,,https://photos.app.goo.gl/bfJZtFN3knCGsMin6,,,,,,https://photos.app.goo.gl/yB6qMoBdPMZ7o3QP9,,,,,,,,,,,,,,https://photos.app.goo.gl/fCcV5fVLpnRVHRAUA,,https://photos.app.goo.gl/NA8M8dYhxyVFM6MA9,,https://photos.app.goo.gl/q4eQ5QABn2bCQ5M49,,,,https://photos.app.goo.gl/r9JBHoTcfTs3BpEv9,,https://photos.app.goo.gl/jdDkh4icYJpunRi79,,https://photos.app.goo.gl/aGKH13bWvVe7TiLy5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
